日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20180125,10001227.SH,510050P1809M03500,3.5,0.3486,0.3575,0.3319,0.348,1177.0,880.0,4087872.0,10000,20180926,510050.SH,3.15,-0.72,-0.028,0.809,0.867,-1.75,0.0951015273298,0.0858883645164,0.122672257937,0.152967644119,0.132599370388,0.129449903673,0.127179187338,0.128799167758,L4,IH1809,3204.4
20180126,10001227.SH,510050P1809M03500,3.5,0.3479,0.3515,0.3157,0.3282,1281.0,1847.0,4271658.0,10000,20180926,510050.SH,3.171,-0.713,-0.027,0.849,0.881,-1.725,0.0932605840362,0.0856969794974,0.119376814326,0.153287757675,0.132225213545,0.127731413976,0.127220957103,0.128878216481,L4,IH1809,3219.6
20180129,10001227.SH,510050P1809M03500,3.5,0.3197,0.3637,0.311,0.3637,550.0,2146.0,1768734.0,10000,20180926,510050.SH,3.114,-0.733,-0.031,0.749,0.83,-1.755,0.144430250747,0.117693650901,0.127076376935,0.158431285065,0.13614532434,0.130208671362,0.129413251682,0.13092019105,L4,IH1809,3161.4
20180130,10001227.SH,510050P1809M03500,3.5,0.3617,0.391,0.3591,0.391,257.0,2124.0,956533.0,10000,20180926,510050.SH,3.075,-0.744,-0.034,0.694,0.8,-1.777,0.158918748851,0.121945096939,0.134860014052,0.160720842144,0.138079321221,0.13166667479,0.130562752468,0.131872979525,L4,IH1809,3121.4
20180131,10001227.SH,510050P1809M03500,3.5,0.3906,0.3916,0.3667,0.3696,166.0,2041.0,629474.0,10000,20180926,510050.SH,3.113,-0.735,-0.032,0.749,0.824,-1.744,0.169439227118,0.126203509408,0.133211567393,0.161010238872,0.139020297707,0.132612442549,0.13127225535,0.131491956069,L4,IH1809,3150.0
20180201,10001227.SH,510050P1809M03500,3.5,0.3604,0.3703,0.3572,0.3572,85.0,2044.0,308881.0,10000,20180926,510050.SH,3.134,-0.729,-0.03,0.783,0.836,-1.722,0.163558718546,0.126689703458,0.133680927276,0.16133472974,0.13921410075,0.132343204236,0.131094635321,0.13163045808,L4,IH1809,3158.6
20180202,10001227.SH,510050P1809M03500,3.5,0.3713,0.3856,0.3395,0.3406,338.0,2200.0,1227895.0,10000,20180926,510050.SH,3.145,-0.726,-0.03,0.803,0.842,-1.706,0.163953076549,0.12660947383,0.133400941488,0.161316863795,0.139191158015,0.132203115672,0.130950061332,0.13164852883,L4,IH1809,3192.6
20180205,10001227.SH,510050P1809M03500,3.5,0.3595,0.3667,0.3228,0.3233,523.0,2613.0,1819059.0,10000,20180926,510050.SH,3.18,-0.71,-0.031,0.859,0.869,-1.648,0.170428250192,0.12933052699,0.133278128043,0.161240654776,0.140040812646,0.13054593587,0.131421997105,0.131544972267,L4,IH1809,3229.0
20180206,10001227.SH,510050P1809M03500,3.5,0.3356,0.3975,0.3356,0.3962,152.0,2599.0,581231.0,10000,20180926,510050.SH,3.11,-0.726,-0.042,0.726,0.826,-1.688,0.191692005188,0.156485497367,0.151529163328,0.168046088934,0.145428046235,0.134517171178,0.134515895769,0.134314311649,L4,IH1809,3133.8
20180207,10001227.SH,510050P1809M03500,3.5,0.3877,0.4742,0.345,0.4586,560.0,2377.0,2448621.0,10000,20180926,510050.SH,3.023,-0.761,-0.039,0.633,0.747,-1.757,0.230752277481,0.187638297886,0.174795902835,0.177729954908,0.153430942387,0.140821745684,0.139097057862,0.138722659311,L4,IH1809,3031.0
