日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20180111,10001190.SH,510050P1802M03400,3.4,0.4017,0.4021,0.3814,0.3909,808.0,407.0,3180109.0,10000,20180228,510050.SH,2.991,-0.9,-0.097,0.628,0.191,-0.408,0.080764487288,0.133644457669,0.153090434465,0.152237121438,0.130111965946,0.129135189628,0.128317004931,0.126916279897,L2,IH1802,3004.2
20180112,10001190.SH,510050P1802M03400,3.4,0.3914,0.3914,0.3684,0.3696,534.0,465.0,2027680.0,10000,20180228,510050.SH,3.018,-0.897,-0.095,0.674,0.194,-0.398,0.08220018845,0.131390558281,0.150262804499,0.153060983193,0.13064353183,0.129618555119,0.128369340908,0.127156858324,L2,IH1802,3032.6
20180115,10001190.SH,510050P1802M03400,3.4,0.3704,0.3704,0.3247,0.3427,750.0,424.0,2590956.0,10000,20180228,510050.SH,3.043,-0.898,-0.094,0.715,0.189,-0.372,0.0791715949866,0.120653195901,0.149022152169,0.153036747376,0.131079259148,0.128880900648,0.128512692522,0.127396474538,L2,IH1802,3058.0
20180116,10001190.SH,510050P1802M03400,3.4,0.3423,0.3491,0.3239,0.3239,789.0,698.0,2681761.0,10000,20180228,510050.SH,3.064,-0.895,-0.094,0.762,0.191,-0.363,0.0539278888747,0.121102094042,0.148984542533,0.153406162171,0.131422088669,0.128827220094,0.128670711199,0.127510758913,L2,IH1802,3090.6
20180117,10001190.SH,510050P1802M03400,3.4,0.3231,0.3286,0.2716,0.3197,2305.0,911.0,6916746.0,10000,20180228,510050.SH,3.071,-0.896,-0.093,0.775,0.188,-0.354,0.0529960863176,0.114616976445,0.142301896345,0.153217474166,0.131137434305,0.128404843487,0.128647936174,0.127511859885,L2,IH1802,3082.4
20180118,10001190.SH,510050P1802M03400,3.4,0.3189,0.3189,0.2752,0.2922,1324.0,1101.0,3832958.0,10000,20180228,510050.SH,3.106,-0.89,-0.09,0.876,0.196,-0.344,0.0577821461175,0.117753186571,0.138053558325,0.154354962496,0.131588818545,0.129126017583,0.12812860728,0.12796390126,L2,IH1802,3126.4
20180119,10001190.SH,510050P1802M03400,3.4,0.293,0.2972,0.2618,0.2853,2191.0,1560.0,5992085.0,10000,20180228,510050.SH,3.113,-0.877,-0.118,0.92,0.21,-0.331,0.0607308148882,0.117628356305,0.133438601867,0.153665206627,0.130761845437,0.129121676037,0.127684130158,0.127833363233,L2,IH1802,3133.8
20180122,10001190.SH,510050P1802M03400,3.4,0.2861,0.2874,0.2639,0.2681,1488.0,1584.0,4100266.0,10000,20180228,510050.SH,3.129,-0.885,-0.106,0.955,0.194,-0.308,0.0597489893526,0.113116016164,0.132982249589,0.150960402783,0.130791688041,0.129238309859,0.127681238182,0.127784567951,L2,IH1802,3145.6
20180123,10001190.SH,510050P1802M03400,3.4,0.2673,0.2673,0.2229,0.2229,2427.0,2082.0,5878795.0,10000,20180228,510050.SH,3.173,-0.869,-0.109,1.164,0.212,-0.295,0.0704805785251,0.116510061085,0.13450671778,0.152586582334,0.132168614812,0.1304821714,0.127523517803,0.12850058228,L2,IH1802,3195.0
20180124,10001190.SH,510050P1802M03400,3.4,0.2221,0.2514,0.2105,0.2323,4149.0,2603.0,9340354.0,10000,20180228,510050.SH,3.172,-0.858,-0.139,1.172,0.221,-0.283,0.0775503100435,0.117839227383,0.11988241124,0.152272789589,0.13202566046,0.128921923921,0.12721330042,0.128403284641,L2,IH1802,3188.0
