日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20170301,10000673.SH,510050C1703A02200,2.153,0.2112,0.228,0.2112,0.215,1493.0,4587.0,3399662.0,10220,20170322,510050.SH,2.368,1.0,-0.063,0.0,0.0,0.124,0.0901621000432,0.0823113358915,0.0835377017029,0.105442707002,0.101971436333,0.0997001343867,0.105947303013,0.108885474646,L1,IH1703,2364.0
20170302,10000673.SH,510050C1703A02200,2.153,0.2202,0.2263,0.1982,0.1992,2125.0,5048.0,4593489.0,10220,20170322,510050.SH,2.353,1.0,-0.063,0.0,0.0,0.118,0.094860434334,0.0842553074416,0.0853604231948,0.103913086466,0.102536653053,0.100141044085,0.106173956947,0.109166876305,L1,IH1703,2347.2
20170303,10000673.SH,510050C1703A02200,2.153,0.1962,0.1972,0.1864,0.1889,1405.0,4956.0,2739158.0,10220,20170322,510050.SH,2.343,1.0,-0.063,0.0,0.0,0.112,0.0944547417333,0.0776223549749,0.0850922558839,0.103396908021,0.102815204984,0.100138603834,0.106083153186,0.109082244774,L1,IH1703,2337.6
20170306,10000673.SH,510050C1703A02200,2.153,0.1899,0.1996,0.1874,0.1949,1154.0,5090.0,2293026.0,10220,20170322,510050.SH,2.349,1.0,-0.063,0.0,0.0,0.094,0.052409949113,0.0781163972195,0.0777644565624,0.102757701056,0.102361791834,0.100084589899,0.106022366654,0.108843004629,L1,IH1703,2341.8
20170307,10000673.SH,510050C1703A02200,2.153,0.1936,0.1998,0.1917,0.1976,817.0,5126.0,1627871.0,10220,20170322,510050.SH,2.354,1.0,-0.063,0.0,0.0,0.088,0.0559902602197,0.0772858214981,0.076845341409,0.096460054371,0.100363629601,0.0995765528957,0.105885335546,0.108857988843,L1,IH1703,2347.2
20170308,10000673.SH,510050C1703A02200,2.153,0.1949,0.2054,0.1949,0.2003,1068.0,4994.0,2176299.0,10220,20170322,510050.SH,2.355,1.0,-0.063,0.0,0.0,0.082,0.0549775166485,0.074959770298,0.0747555587679,0.0963814286942,0.100292253442,0.0993654251226,0.105194972044,0.108822389379,L1,IH1703,2350.6
20170309,10000673.SH,510050C1703A02200,2.153,0.1947,0.1947,0.1763,0.1841,1822.0,4940.0,3437574.0,10220,20170322,510050.SH,2.343,1.0,-0.063,0.0,0.0,0.077,0.0566895906698,0.0765511612382,0.0752038463508,0.0966963236604,0.100491203951,0.0996584903283,0.105431969096,0.105166943308,L1,IH1703,2335.6
20170310,10000673.SH,510050C1703A02200,2.153,0.1863,0.1899,0.181,0.181,1136.0,4835.0,2137457.0,10220,20170322,510050.SH,2.335,1.0,-0.063,0.0,0.0,0.071,0.0568603333126,0.074719247316,0.0735183976854,0.0967868328042,0.100561304961,0.0997322709228,0.104541616844,0.105070386942,L1,IH1703,2330.6
20170313,10000673.SH,510050C1703A02200,2.153,0.1789,0.2001,0.1711,0.2001,2395.0,3962.0,4714550.0,10220,20170322,510050.SH,2.355,1.0,-0.063,0.0,0.0,0.053,0.0691619571925,0.0789562721757,0.0775753071531,0.0941951538909,0.101491680045,0.100412072603,0.104801196742,0.105408411987,L1,IH1703,2353.4
20170314,10000673.SH,510050C1703A02200,2.153,0.2007,0.205,0.1914,0.1961,689.0,3910.0,1400517.0,10220,20170322,510050.SH,2.351,1.0,-0.063,0.0,0.0,0.047,0.0691820941424,0.0783910626364,0.0773931796646,0.0916011488009,0.101525310719,0.10044911576,0.104797592225,0.105343174944,L1,IH1703,2349.0
20170315,10000673.SH,510050C1703A02200,2.153,0.1937,0.2013,0.1909,0.1973,1371.0,3318.0,2745791.0,10220,20170322,510050.SH,2.354,1.0,-0.063,0.0,0.0,0.041,0.0698206863092,0.0786076923457,0.0773934102859,0.0908058167594,0.101261908968,0.100243732306,0.104612207339,0.105298882479,L1,IH1703,2350.2
20170316,10000673.SH,510050C1703A02200,2.153,0.2083,0.2239,0.2079,0.2161,801.0,3227.0,1767870.0,10220,20170322,510050.SH,2.369,1.0,-0.063,0.0,0.0,0.035,0.069606509815,0.0818372500124,0.0787732505167,0.0912416573069,0.101067352612,0.0987236690579,0.104644824074,0.105489926169,L1,IH1703,2368.8
