日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20170427,10000890.SH,510050C1712M02400,2.4,0.0546,0.0552,0.0443,0.0462,3497.0,1975.0,1621837.0,10000,20171227,510050.SH,2.344,0.481,-0.069,3.17,0.764,0.722,0.0700992046655,0.0694739620966,0.0763496929465,0.0762202611193,0.0863887795462,0.0955726005254,0.0959009213542,0.10047408197,L4,IH1712,2256.2
20170428,10000890.SH,510050C1712M02400,2.4,0.0462,0.0462,0.0432,0.0448,1070.0,2266.0,478709.0,10000,20171227,510050.SH,2.34,0.468,-0.069,3.141,0.759,0.699,0.0616667530007,0.0696380847716,0.0763716121322,0.0762397314873,0.0858318378596,0.0953778263079,0.0957559062525,0.100342735729,L4,IH1712,2259.0
20170502,10000890.SH,510050C1712M02400,2.4,0.045,0.0469,0.0422,0.0423,1081.0,2683.0,479190.0,10000,20171227,510050.SH,2.332,0.443,-0.069,3.013,0.745,0.649,0.0625074447271,0.0693843676585,0.074396073337,0.0760939276492,0.0856803683544,0.0949821751396,0.094322518056,0.100245226986,L4,IH1712,2253.8
20170503,10000890.SH,510050C1712M02400,2.4,0.0432,0.0435,0.0371,0.0377,945.0,3102.0,373150.0,10000,20171227,510050.SH,2.325,0.417,-0.065,3.124,0.733,0.609,0.056417708034,0.0666463419276,0.0681635870183,0.0735641548427,0.0775795440097,0.0936281118335,0.0942887888427,0.100319952765,L4,IH1712,2246.8
20170504,10000890.SH,510050C1712M02400,2.4,0.0355,0.0377,0.0307,0.031,2386.0,3841.0,809116.0,10000,20171227,510050.SH,2.32,0.39,-0.059,3.366,0.717,0.568,0.0460567658376,0.0513353561515,0.0681173565905,0.0736676543614,0.0774963481578,0.0936601651544,0.0940210089977,0.100351045518,L4,IH1712,2240.0
20170505,10000890.SH,510050C1712M02400,2.4,0.0305,0.0307,0.0274,0.0288,4056.0,5763.0,1171378.0,10000,20171227,510050.SH,2.313,0.369,-0.058,3.26,0.701,0.533,0.04248262519,0.0510240965308,0.067950299273,0.0735997354248,0.0774422032112,0.0936825358111,0.0938438486664,0.100415973771,L4,IH1712,2231.2
20170508,10000890.SH,510050C1712M02400,2.4,0.0285,0.0303,0.027,0.03,1773.0,6450.0,503934.0,10000,20171227,510050.SH,2.318,0.381,-0.059,3.346,0.706,0.545,0.0365630651777,0.0523739797789,0.0654410511268,0.0728315499368,0.0770036911177,0.093603772245,0.0938553928376,0.100341787731,L4,IH1712,2239.0
20170509,10000890.SH,510050C1712M02400,2.4,0.0296,0.0315,0.0291,0.0296,588.0,6686.0,176724.0,10000,20171227,510050.SH,2.315,0.373,-0.059,3.26,0.699,0.531,0.0360816276701,0.0520708955247,0.0645950801006,0.0726417434385,0.0760946428975,0.0929772880451,0.0938541121944,0.100261158139,L4,IH1712,2239.2
20170510,10000890.SH,510050C1712M02400,2.4,0.0299,0.032,0.0295,0.0296,1363.0,7217.0,420650.0,10000,20171227,510050.SH,2.321,0.386,-0.059,3.452,0.706,0.549,0.0361418238141,0.0535205047422,0.0597949150145,0.0720564229399,0.0760716290397,0.0918772796774,0.0936751547662,0.0999255038041,L4,IH1712,2247.6
20170511,10000890.SH,510050C1712M02400,2.4,0.0295,0.0333,0.0294,0.0329,1201.0,7794.0,381170.0,10000,20171227,510050.SH,2.334,0.427,-0.061,3.69,0.727,0.607,0.0480284574535,0.0584522631219,0.0622208066859,0.0722251529745,0.0759693480053,0.091495348838,0.0938524556065,0.100073812671,L4,IH1712,2259.0
