日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20170711,10000949.SH,510050C1709M02700,2.7,0.029,0.0449,0.0269,0.0378,9083.0,4756.0,3267102.0,10000,20170927,510050.SH,2.604,0.338,-0.172,2.117,0.44,0.18,0.130501126557,0.127534595496,0.120006339289,0.117307130715,0.105536383538,0.100435783211,0.106134460234,0.104753486276,L3,IH1709,2559.6
20170712,10000949.SH,510050C1709M02700,2.7,0.0378,0.0473,0.0319,0.0359,7588.0,7145.0,3087868.0,10000,20170927,510050.SH,2.597,0.324,-0.171,2.073,0.429,0.17,0.125858909904,0.11847506078,0.120548630076,0.116263757329,0.105701766747,0.100285932791,0.105922490872,0.103673757568,L3,IH1709,2543.2
20170713,10000949.SH,510050C1709M02700,2.7,0.036,0.049,0.036,0.0485,5170.0,8803.0,2293813.0,10000,20170927,510050.SH,2.638,0.407,-0.188,2.287,0.467,0.214,0.141799668365,0.122214117878,0.126457586668,0.119608682247,0.107669725986,0.102251095676,0.106656013151,0.105083225105,L3,IH1709,2588.0
20170714,10000949.SH,510050C1709M02700,2.7,0.052,0.0589,0.0448,0.0588,7803.0,10110.0,3989251.0,10000,20170927,510050.SH,2.665,0.468,-0.197,2.367,0.48,0.244,0.142466886089,0.122696182775,0.125041394817,0.119523504317,0.108255860002,0.102817352118,0.107151014685,0.105642261121,L3,IH1709,2619.2
20170717,10000949.SH,510050C1709M02700,2.7,0.061,0.0878,0.053,0.0736,10014.0,10652.0,7408015.0,10000,20170927,510050.SH,2.669,0.484,-0.239,1.984,0.473,0.241,0.13286903762,0.116183577956,0.118227939749,0.118098016802,0.108239818522,0.101541086647,0.106712553015,0.105436507049,L3,IH1709,2625.0
20170718,10000949.SH,510050C1709M02700,2.7,0.0733,0.0767,0.0576,0.0629,4799.0,11883.0,3122164.0,10000,20170927,510050.SH,2.659,0.459,-0.223,2.136,0.465,0.225,0.119793057674,0.114519311885,0.119347381308,0.118679091612,0.108564317553,0.101486637219,0.104181774669,0.104679154064,L3,IH1709,2612.2
20170719,10000949.SH,510050C1709M02700,2.7,0.0625,0.0884,0.0625,0.0883,5665.0,11042.0,4443118.0,10000,20170927,510050.SH,2.702,0.549,-0.246,1.997,0.468,0.268,0.117575479537,0.120414325814,0.123930312448,0.121835841543,0.111189659226,0.103413187411,0.105907016849,0.106113549436,L3,IH1709,2657.0
20170720,10000949.SH,510050C1709M02700,2.7,0.0885,0.0984,0.0866,0.0937,8631.0,11371.0,7981315.0,10000,20170927,510050.SH,2.71,0.564,-0.252,1.955,0.464,0.271,0.116583065071,0.12015083929,0.122846106001,0.121488284692,0.110666147564,0.1031463318,0.105907165569,0.106022283615,L3,IH1709,2667.8
20170721,10000949.SH,510050C1709M02700,2.7,0.0931,0.0951,0.0733,0.0751,3454.0,11333.0,2910018.0,10000,20170927,510050.SH,2.68,0.503,-0.244,2.064,0.461,0.237,0.138317133773,0.129477591289,0.128383669666,0.124522984179,0.112330503637,0.104361310808,0.10698751597,0.106859653753,L3,IH1709,2641.0
20170724,10000949.SH,510050C1709M02700,2.7,0.0753,0.0858,0.0719,0.0808,6437.0,12232.0,5238221.0,10000,20170927,510050.SH,2.7,0.544,-0.245,2.164,0.452,0.247,0.139010260902,0.130447722411,0.128879432298,0.124740176536,0.112159408361,0.1047242119,0.106037671533,0.107133132018,L3,IH1709,2662.8
20170725,10000949.SH,510050C1709M02700,2.7,0.0796,0.0861,0.0684,0.0713,3528.0,12619.0,2738949.0,10000,20170927,510050.SH,2.683,0.506,-0.244,2.201,0.448,0.226,0.143750457072,0.13411778396,0.130951370862,0.125960354867,0.112773407946,0.105241148233,0.105313141529,0.107438722406,L3,IH1709,2642.2
20170726,10000949.SH,510050C1709M02700,2.7,0.0681,0.08,0.0577,0.0632,3969.0,13100.0,2654907.0,10000,20170927,510050.SH,2.677,0.49,-0.231,2.365,0.444,0.216,0.143285659817,0.131566267567,0.1249030612,0.126033287774,0.112936812708,0.105346847858,0.10499470789,0.107400238076,L3,IH1709,2631.8
20170727,10000949.SH,510050C1709M02700,2.7,0.0623,0.0703,0.0575,0.0688,13593.0,15935.0,8599233.0,10000,20170927,510050.SH,2.677,0.493,-0.251,2.186,0.44,0.212,0.125814185718,0.130906880583,0.122083059547,0.125588548383,0.11266387303,0.105283517418,0.104767884224,0.107025194134,L2,IH1709,2633.8
20170728,10000949.SH,510050C1709M02700,2.7,0.0665,0.0698,0.0617,0.0665,9544.0,18507.0,6277891.0,10000,20170927,510050.SH,2.68,0.497,-0.244,2.299,0.437,0.212,0.11648670251,0.129762431713,0.121379454311,0.125146152561,0.110775280748,0.104049248499,0.100510197765,0.106278707132,L2,IH1709,2636.6
20170731,10000949.SH,510050C1709M02700,2.7,0.0673,0.0712,0.0615,0.0672,6799.0,19196.0,4526805.0,10000,20170927,510050.SH,2.682,0.5,-0.255,2.3,0.427,0.203,0.116382370359,0.126426191259,0.116179720384,0.124851666776,0.110781451893,0.104045891157,0.100378380645,0.106251189046,L2,IH1709,2638.4
20170801,10000949.SH,510050C1709M02700,2.7,0.0676,0.09,0.0666,0.09,14961.0,21297.0,11976236.0,10000,20170927,510050.SH,2.724,0.595,-0.264,2.2,0.417,0.239,0.134734340341,0.126302066052,0.119510694667,0.127080036686,0.113143901494,0.105829324953,0.101888359622,0.107599254644,L2,IH1709,2681.4
