日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20170829,10001003.SH,510050C1709M02900,2.9,0.0134,0.0163,0.0125,0.0144,44172.0,25123.0,6422830.0,10000,20170927,510050.SH,2.789,0.208,-0.238,2.338,0.225,0.045,0.1217905234,0.136560459477,0.133928873776,0.126033815992,0.123294238329,0.114841907344,0.108287242174,0.109380849737,L1,IH1709,2747.4
20170830,10001003.SH,510050C1709M02900,2.9,0.0143,0.0205,0.0103,0.0107,35758.0,37224.0,5543841.0,10000,20170927,510050.SH,2.774,0.168,-0.209,2.111,0.193,0.035,0.124430333526,0.138447925029,0.12834908743,0.126046952566,0.123825463959,0.115240182726,0.108402114827,0.109568971454,L1,IH1709,2731.6
20170831,10001003.SH,510050C1709M02900,2.9,0.0115,0.0136,0.0087,0.01,30115.0,48585.0,3124349.0,10000,20170927,510050.SH,2.766,0.156,-0.208,1.98,0.18,0.031,0.130316927631,0.127685684326,0.128631883218,0.125678360229,0.123897816187,0.115029486212,0.108304190537,0.109628841222,L1,IH1709,2724.8
20170901,10001003.SH,510050C1709M02900,2.9,0.0111,0.0132,0.008,0.0094,29871.0,53837.0,3143878.0,10000,20170927,510050.SH,2.76,0.148,-0.211,1.886,0.17,0.029,0.133994030743,0.124950158125,0.124206077003,0.125540050428,0.124069660191,0.114937078289,0.108173705695,0.109674644646,L1,IH1709,2717.2
20170904,10001003.SH,510050C1709M02900,2.9,0.0094,0.0101,0.0072,0.0087,22182.0,59724.0,1895852.0,10000,20170927,510050.SH,2.764,0.144,-0.223,1.925,0.157,0.024,0.132856560281,0.124852777864,0.122765442411,0.12541658474,0.123964513147,0.114482097842,0.108157666883,0.108633706722,L1,IH1709,2717.6
20170905,10001003.SH,510050C1709M02900,2.9,0.0089,0.0122,0.0089,0.0093,35747.0,67510.0,3765384.0,10000,20170927,510050.SH,2.782,0.162,-0.236,2.23,0.167,0.027,0.129858021294,0.12600332639,0.12197339879,0.125703877712,0.124196848242,0.11463143327,0.108359840576,0.107928229717,L1,IH1709,2732.4
20170906,10001003.SH,510050C1709M02900,2.9,0.0094,0.0102,0.0065,0.008,29127.0,67509.0,2333148.0,10000,20170927,510050.SH,2.764,0.137,-0.23,1.908,0.145,0.021,0.136546701705,0.125795752012,0.123563696257,0.123705422961,0.124821144201,0.11517826689,0.108789212595,0.107945002857,L1,IH1709,2715.8
20170907,10001003.SH,510050C1709M02900,2.9,0.0086,0.0092,0.0032,0.0033,30387.0,65357.0,1875554.0,10000,20170927,510050.SH,2.743,0.073,-0.133,1.378,0.089,0.011,0.14223857641,0.128869040833,0.125987671596,0.123931091564,0.125492378324,0.11565047436,0.109288663582,0.108204981053,L1,IH1709,2694.4
20170908,10001003.SH,510050C1709M02900,2.9,0.004,0.005,0.003,0.0037,20029.0,63427.0,748617.0,10000,20170927,510050.SH,2.738,0.076,-0.15,1.351,0.089,0.011,0.0913539681284,0.112683779975,0.126204943646,0.123905796648,0.125384134898,0.114398119205,0.108411386539,0.104844353493,L1,IH1709,2688.8
20170911,10001003.SH,510050C1709M02900,2.9,0.0033,0.0058,0.003,0.0033,15390.0,65110.0,643075.0,10000,20170927,510050.SH,2.73,0.069,-0.168,1.236,0.076,0.008,0.0644535035288,0.111817050468,0.126627337831,0.121298042175,0.125457091983,0.114553566817,0.108525853282,0.104838705083,L1,IH1709,2684.4
