日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20170301,10000747.SH,510050C1706A02500,2.446,0.0434,0.0493,0.0434,0.0442,285.0,3182.0,135174.0,10220,20170628,510050.SH,2.368,0.386,-0.124,2.29,0.517,0.284,0.0901621000432,0.0823113358915,0.0835377017029,0.105442707002,0.101971436333,0.0997001343867,0.105947303013,0.108885474646,L3,IH1706,2347.6
20170302,10000747.SH,510050C1706A02500,2.446,0.0463,0.0488,0.0397,0.0403,643.0,3201.0,287691.0,10220,20170628,510050.SH,2.353,0.357,-0.122,2.179,0.499,0.259,0.094860434334,0.0842553074416,0.0853604231948,0.103913086466,0.102536653053,0.100141044085,0.106173956947,0.109166876305,L3,IH1706,2330.6
20170303,10000747.SH,510050C1706A02500,2.446,0.0389,0.0394,0.0362,0.0368,539.0,3099.0,207212.0,10220,20170628,510050.SH,2.343,0.335,-0.119,2.138,0.483,0.24,0.0944547417333,0.0776223549749,0.0850922558839,0.103396908021,0.102815204984,0.100138603834,0.106083153186,0.109082244774,L3,IH1706,2321.2
20170306,10000747.SH,510050C1706A02500,2.446,0.0371,0.0395,0.035,0.0365,503.0,3127.0,188557.0,10220,20170628,510050.SH,2.349,0.34,-0.119,2.224,0.481,0.238,0.052409949113,0.0781163972195,0.0777644565624,0.102757701056,0.102361791834,0.100084589899,0.106022366654,0.108843004629,L3,IH1706,2319.2
20170307,10000747.SH,510050C1706A02500,2.446,0.036,0.0373,0.0351,0.0363,897.0,3513.0,332742.0,10220,20170628,510050.SH,2.354,0.346,-0.118,2.305,0.483,0.241,0.0559902602197,0.0772858214981,0.076845341409,0.096460054371,0.100363629601,0.0995765528957,0.105885335546,0.108857988843,L3,IH1706,2323.2
20170308,10000747.SH,510050C1706A02500,2.446,0.0355,0.0371,0.0353,0.0354,367.0,3648.0,136360.0,10220,20170628,510050.SH,2.355,0.345,-0.118,2.332,0.481,0.239,0.0549775166485,0.074959770298,0.0747555587679,0.0963814286942,0.100292253442,0.0993654251226,0.105194972044,0.108822389379,L3,IH1706,2327.0
20170309,10000747.SH,510050C1706A02500,2.446,0.0339,0.0343,0.0282,0.03,871.0,3585.0,269173.0,10220,20170628,510050.SH,2.343,0.311,-0.109,2.318,0.457,0.213,0.0566895906698,0.0765511612382,0.0752038463508,0.0966963236604,0.100491203951,0.0996584903283,0.105431969096,0.105166943308,L3,IH1706,2311.4
20170310,10000747.SH,510050C1706A02500,2.446,0.0306,0.0306,0.0279,0.0279,158.0,3607.0,46715.0,10220,20170628,510050.SH,2.335,0.295,-0.107,2.247,0.442,0.199,0.0568603333126,0.074719247316,0.0735183976854,0.0967868328042,0.100561304961,0.0997322709228,0.104541616844,0.105070386942,L3,IH1706,2305.4
20170313,10000747.SH,510050C1706A02500,2.446,0.0261,0.0317,0.0247,0.031,590.0,3880.0,171611.0,10220,20170628,510050.SH,2.355,0.331,-0.113,2.463,0.462,0.219,0.0691619571925,0.0789562721757,0.0775753071531,0.0941951538909,0.101491680045,0.100412072603,0.104801196742,0.105408411987,L3,IH1706,2328.8
20170314,10000747.SH,510050C1706A02500,2.446,0.0314,0.0318,0.0264,0.0274,511.0,3776.0,147204.0,10220,20170628,510050.SH,2.351,0.31,-0.105,2.531,0.447,0.204,0.0691820941424,0.0783910626364,0.0773931796646,0.0916011488009,0.101525310719,0.10044911576,0.104797592225,0.105343174944,L3,IH1706,2321.6
20170315,10000747.SH,510050C1706A02500,2.446,0.0272,0.0299,0.0253,0.0295,415.0,3848.0,119449.0,10220,20170628,510050.SH,2.354,0.322,-0.111,2.504,0.453,0.21,0.0698206863092,0.0786076923457,0.0773934102859,0.0908058167594,0.101261908968,0.100243732306,0.104612207339,0.105298882479,L3,IH1706,2320.6
20170316,10000747.SH,510050C1706A02500,2.446,0.0351,0.0375,0.0309,0.0322,771.0,3846.0,269165.0,10220,20170628,510050.SH,2.369,0.354,-0.114,2.674,0.471,0.23,0.069606509815,0.0818372500124,0.0787732505167,0.0912416573069,0.101067352612,0.0987236690579,0.104644824074,0.105489926169,L3,IH1706,2344.8
20170317,10000747.SH,510050C1706A02500,2.446,0.0332,0.0333,0.0231,0.0244,734.0,4086.0,217300.0,10220,20170628,510050.SH,2.343,0.287,-0.102,2.475,0.424,0.183,0.0880657313103,0.0890901782672,0.0797150663205,0.0823040595846,0.100996944592,0.0999016561795,0.105668350119,0.106339367939,L3,IH1706,2320.8
20170320,10000747.SH,510050C1706A02500,2.446,0.0247,0.0282,0.0226,0.0241,730.0,4114.0,184200.0,10220,20170628,510050.SH,2.347,0.29,-0.103,2.552,0.42,0.18,0.0874984393736,0.071739641975,0.0798529434506,0.0820777005385,0.101006225621,0.0995253503237,0.105665818192,0.106182168603,L3,IH1706,2324.8
20170321,10000747.SH,510050C1706A02500,2.446,0.0248,0.0258,0.0214,0.023,1511.0,4420.0,357498.0,10220,20170628,510050.SH,2.353,0.292,-0.1,2.715,0.421,0.181,0.087813190168,0.0728064713377,0.0794838166256,0.0818224159405,0.101004556768,0.0992738821368,0.10568394551,0.106086875622,L3,IH1706,2329.6
20170322,10000747.SH,510050C1706A02500,2.446,0.0227,0.0227,0.0172,0.0174,1950.0,4452.0,370870.0,10220,20170628,510050.SH,2.336,0.242,-0.087,2.545,0.378,0.147,0.0945732476984,0.0756427681502,0.0806740428702,0.0824890387016,0.101566885929,0.0998382235147,0.106036720303,0.105406382748,L3,IH1706,2308.4
