日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20171128,10001100.SH,510050P1801M02800,2.8,0.0236,0.0335,0.0236,0.0284,6844.0,2431.0,1948588.0,10000,20180124,510050.SH,2.896,-0.255,-0.16,1.817,0.368,-0.12,0.2376602718,0.175642776382,0.155038974248,0.118824983654,0.123511772198,0.122516954133,0.121573120083,0.115996253854,L2,IH1801,2908.0
20171129,10001100.SH,510050P1801M02800,2.8,0.028,0.0399,0.0234,0.0315,9620.0,4737.0,3034048.0,10000,20180124,510050.SH,2.89,-0.272,-0.172,1.832,0.375,-0.125,0.237051008203,0.175372148553,0.153990726572,0.118321163434,0.121039828585,0.122081423159,0.121600477404,0.116053578627,L2,IH1801,2900.0
20171130,10001100.SH,510050P1801M02800,2.8,0.0319,0.0454,0.029,0.0435,10047.0,7590.0,3589612.0,10000,20180124,510050.SH,2.858,-0.338,-0.195,1.978,0.406,-0.152,0.234031064645,0.180178417427,0.157806577569,0.12048125823,0.122536721544,0.122908008405,0.122559271177,0.116700546468,L2,IH1801,2866.0
20171201,10001100.SH,510050P1801M02800,2.8,0.0452,0.0573,0.0426,0.0573,10456.0,9072.0,5286724.0,10000,20180124,510050.SH,2.838,-0.387,-0.226,1.906,0.418,-0.171,0.20054069466,0.181833571089,0.158285876965,0.121320900916,0.121649839238,0.123213321857,0.123008386144,0.116963791088,L2,IH1801,2847.8
20171204,10001100.SH,510050P1801M02800,2.8,0.0597,0.0641,0.0393,0.0401,9731.0,11792.0,4777530.0,10000,20180124,510050.SH,2.858,-0.333,-0.198,2.077,0.388,-0.138,0.206820560932,0.183266659703,0.159340146977,0.122020783137,0.121589024557,0.123468026939,0.123179541188,0.116847145912,L2,IH1801,2863.2
20171205,10001100.SH,510050P1801M02800,2.8,0.0409,0.0436,0.0228,0.0252,15541.0,14949.0,4308863.0,10000,20180124,510050.SH,2.908,-0.235,-0.176,1.749,0.331,-0.097,0.209036034214,0.189094895611,0.165715230759,0.126064850066,0.124076968804,0.12558003741,0.124843228708,0.118312767565,L2,IH1801,2912.8
20171206,10001100.SH,510050P1801M02800,2.8,0.026,0.0507,0.026,0.0366,10240.0,15321.0,3890056.0,10000,20180124,510050.SH,2.871,-0.309,-0.206,1.986,0.37,-0.124,0.202210241478,0.194746196872,0.170302328404,0.128170184954,0.125997478475,0.125754372271,0.12608684019,0.119418921801,L2,IH1801,2872.6
20171207,10001100.SH,510050P1801M02800,2.8,0.0377,0.0527,0.0341,0.0455,10511.0,16857.0,4681180.0,10000,20180124,510050.SH,2.844,-0.364,-0.218,2.149,0.387,-0.142,0.17679838758,0.196844091762,0.171009130681,0.128702977125,0.127103807815,0.126143826741,0.126689135366,0.119884472469,L2,IH1801,2844.8
20171208,10001100.SH,510050P1801M02800,2.8,0.0447,0.0496,0.0306,0.0328,9792.0,19159.0,3792914.0,10000,20180124,510050.SH,2.865,-0.307,-0.192,2.19,0.361,-0.117,0.186105851076,0.194179924709,0.165920441941,0.129312202545,0.127574105958,0.126360391508,0.126797701287,0.119280240596,L2,IH1801,2873.8
20171211,10001100.SH,510050P1801M02800,2.8,0.033,0.0354,0.0222,0.0224,9082.0,22181.0,2448840.0,10000,20180124,510050.SH,2.898,-0.234,-0.18,1.948,0.309,-0.084,0.199682330151,0.198428212164,0.168624255388,0.130848137297,0.128777437732,0.125690919086,0.127356257961,0.119879112587,L2,IH1801,2908.6
20171212,10001100.SH,510050P1801M02800,2.8,0.0225,0.0354,0.021,0.0353,11813.0,23960.0,3279681.0,10000,20180124,510050.SH,2.846,-0.343,-0.202,2.474,0.359,-0.119,0.184338793931,0.207210363435,0.176387839854,0.135949274091,0.130160695006,0.128300403032,0.129643564583,0.121932986467,L2,IH1801,2858.0
20171213,10001100.SH,510050P1801M02800,2.8,0.0351,0.04,0.025,0.0273,14956.0,23357.0,4848793.0,10000,20180124,510050.SH,2.87,-0.284,-0.194,2.291,0.33,-0.097,0.19091151488,0.209496036913,0.177740916795,0.136685703637,0.130797175343,0.128035170274,0.129946062225,0.121841510339,L2,IH1801,2881.8
20171214,10001100.SH,510050P1801M02800,2.8,0.027,0.0362,0.0253,0.0326,12299.0,25775.0,3975102.0,10000,20180124,510050.SH,2.85,-0.33,-0.204,2.509,0.346,-0.109,0.185841674341,0.206478851668,0.178887006055,0.136855510213,0.129045430294,0.12836033886,0.13034065629,0.12217630973,L2,IH1801,2860.8
20171215,10001100.SH,510050P1801M02800,2.8,0.0331,0.0465,0.0331,0.0441,20524.0,28026.0,8235616.0,10000,20180124,510050.SH,2.816,-0.419,-0.213,2.8,0.364,-0.134,0.192203996628,0.19443237538,0.182054784885,0.139232839741,0.130151608019,0.129339711761,0.131434886497,0.122805616306,L2,IH1801,2825.6
20171218,10001100.SH,510050P1801M02800,2.8,0.0438,0.045,0.032,0.0356,15362.0,30132.0,5693869.0,10000,20180124,510050.SH,2.828,-0.381,-0.212,2.93,0.343,-0.113,0.189646979476,0.195324076778,0.182383124934,0.139373183466,0.130231372253,0.129336257464,0.131375000604,0.122824655219,L2,IH1801,2838.0
20171219,10001100.SH,510050P1801M02800,2.8,0.0355,0.0356,0.022,0.0226,16443.0,34166.0,4280208.0,10000,20180124,510050.SH,2.87,-0.268,-0.199,2.476,0.297,-0.078,0.183182927465,0.193120320931,0.184495881568,0.141990795401,0.132278486233,0.130764580371,0.131279094106,0.123781002513,L2,IH1801,2882.4
20171220,10001100.SH,510050P1801M02800,2.8,0.0223,0.0257,0.0195,0.0215,14078.0,35023.0,3205119.0,10000,20180124,510050.SH,2.876,-0.256,-0.204,2.391,0.287,-0.073,0.172398695675,0.190716212297,0.184593673129,0.141951248263,0.131710612499,0.130366697136,0.131282127853,0.123765274539,L2,IH1801,2884.4
20171221,10001100.SH,510050P1801M02800,2.8,0.0224,0.0253,0.0135,0.0149,24475.0,37128.0,3987637.0,10000,20180124,510050.SH,2.893,-0.203,-0.174,2.231,0.249,-0.056,0.165765160559,0.175276893005,0.185042967494,0.142165474861,0.13177809246,0.130304571131,0.131408995075,0.123753099259,L2,IH1801,2907.0
20171222,10001100.SH,510050P1801M02800,2.8,0.0155,0.0157,0.0134,0.0145,11312.0,38557.0,1645051.0,10000,20180124,510050.SH,2.878,-0.216,-0.165,2.589,0.254,-0.058,0.165767763858,0.175622624715,0.182581701124,0.142702059946,0.129183338854,0.130495221721,0.131029957252,0.123867271454,L2,IH1801,2890.6
20171225,10001100.SH,510050P1801M02800,2.8,0.015,0.0166,0.0088,0.015,23960.0,41226.0,3013687.0,10000,20180124,510050.SH,2.876,-0.222,-0.185,2.643,0.246,-0.054,0.154480341668,0.174200330929,0.182225461497,0.142726590797,0.128642972865,0.130147882749,0.130916503076,0.123348960482,L2,IH1801,2887.8
20171226,10001100.SH,510050P1801M02800,2.8,0.015,0.0163,0.0092,0.0104,25561.0,49168.0,3397173.0,10000,20180124,510050.SH,2.893,-0.172,-0.16,2.336,0.208,-0.04,0.124167810722,0.155327458836,0.182625164031,0.143081467627,0.128626038236,0.129518182454,0.131040344917,0.123476606944,L2,IH1801,2909.0
20171227,10001100.SH,510050P1801M02800,2.8,0.0108,0.03,0.0098,0.0293,40814.0,57521.0,7578029.0,10000,20180124,510050.SH,2.834,-0.357,-0.254,3.184,0.293,-0.08,0.158840864987,0.170986118164,0.191347784219,0.148608706993,0.133156729503,0.13117882495,0.133731363207,0.126004635737,L2,IH1801,2842.6
20171228,10001100.SH,510050P1801M02800,2.8,0.0285,0.0309,0.0154,0.0195,80362.0,59991.0,17637541.0,10000,20180124,510050.SH,2.855,-0.279,-0.224,3.082,0.261,-0.06,0.160627593402,0.169099210872,0.189949616546,0.149201077567,0.133456157259,0.131504245947,0.133176153602,0.126140997776,L1,IH1801,2866.6
20171229,10001100.SH,510050P1801M02800,2.8,0.0196,0.02,0.0122,0.0143,39896.0,63627.0,6461072.0,10000,20180124,510050.SH,2.858,-0.245,-0.19,3.282,0.24,-0.051,0.146208056528,0.167181829432,0.180327413521,0.149058348017,0.133316169518,0.131423209328,0.133127584097,0.126139079345,L1,IH1801,2869.2
20180102,10001100.SH,510050P1801M02800,2.8,0.0142,0.0142,0.0053,0.0055,46249.0,66995.0,3290037.0,10000,20180124,510050.SH,2.907,-0.113,-0.142,2.005,0.137,-0.02,0.164952266235,0.175640991644,0.187643473581,0.151758666639,0.135925257835,0.133244494436,0.129827643861,0.127450801251,L1,IH1801,2918.4
20180103,10001100.SH,510050P1801M02800,2.8,0.0055,0.0057,0.003,0.0053,41788.0,61857.0,1700256.0,10000,20180124,510050.SH,2.912,-0.108,-0.148,1.9,0.129,-0.018,0.151388196045,0.165042456515,0.180661781288,0.151688273727,0.135157132559,0.132448054505,0.129783845391,0.127363782646,L1,IH1801,2923.0
20180104,10001100.SH,510050P1801M02800,2.8,0.0053,0.0055,0.0035,0.004,20269.0,59931.0,890603.0,10000,20180124,510050.SH,2.919,-0.087,-0.129,1.687,0.108,-0.014,0.151431282539,0.158272145345,0.179375125776,0.151397136196,0.134796184984,0.132362151257,0.129754032724,0.126997958873,L1,IH1801,2929.2
20180105,10001100.SH,510050P1801M02800,2.8,0.004,0.005,0.003,0.003,22898.0,60331.0,881783.0,10000,20180124,510050.SH,2.933,-0.069,-0.117,1.388,0.089,-0.011,0.150659334687,0.154191058058,0.166391784496,0.151472858774,0.134738281233,0.130799130753,0.129686046327,0.127065772331,L1,IH1801,2942.8
20180108,10001100.SH,510050P1801M02800,2.8,0.003,0.0035,0.0021,0.0022,15758.0,56680.0,419167.0,10000,20180124,510050.SH,2.944,-0.053,-0.111,1.137,0.066,-0.007,0.146536972076,0.152962452172,0.166859305092,0.151537989618,0.130386669735,0.130186294157,0.129198372382,0.126787352257,L1,IH1801,2950.2
20180109,10001100.SH,510050P1801M02800,2.8,0.0022,0.0025,0.0011,0.0011,17310.0,52317.0,299001.0,10000,20180124,510050.SH,2.97,-0.028,-0.072,0.686,0.039,-0.003,0.148795112495,0.150994409849,0.167366517704,0.152259086234,0.129924031107,0.130673670598,0.128551541406,0.126727053829,L1,IH1801,2979.8
20180110,10001100.SH,510050P1801M02800,2.8,0.0012,0.0014,0.0006,0.0009,13992.0,51019.0,150156.0,10000,20180124,510050.SH,2.994,-0.021,-0.065,0.499,0.03,-0.002,0.150208518408,0.13489081113,0.153246028671,0.152847379483,0.130479370603,0.130895288266,0.128691882268,0.126931092437,L1,IH1801,3000.4
