日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20171228,10001145.SH,510050C1802M02950,2.95,0.0504,0.0558,0.0474,0.0493,7167.0,2623.0,3731449.0,10000,20180228,510050.SH,2.855,0.363,-0.255,1.833,0.441,0.168,0.160627593402,0.169099210872,0.189949616546,0.149201077567,0.133456157259,0.131504245947,0.133176153602,0.126140997776,L2,IH1802,2871.8
20171229,10001145.SH,510050C1802M02950,2.95,0.0493,0.0556,0.0437,0.0448,4084.0,3076.0,1973272.0,10000,20180228,510050.SH,2.858,0.356,-0.24,1.96,0.435,0.163,0.146208056528,0.167181829432,0.180327413521,0.149058348017,0.133316169518,0.131423209328,0.133127584097,0.126139079345,L2,IH1802,2879.0
20180102,10001145.SH,510050C1802M02950,2.95,0.0449,0.0589,0.0449,0.058,7845.0,3250.0,4317304.0,10000,20180228,510050.SH,2.907,0.446,-0.261,2.227,0.454,0.194,0.164952266235,0.175640991644,0.187643473581,0.151758666639,0.135925257835,0.133244494436,0.129827643861,0.127450801251,L2,IH1802,2927.2
20180103,10001145.SH,510050C1802M02950,2.95,0.0584,0.0708,0.0542,0.0577,10871.0,4866.0,6761305.0,10000,20180228,510050.SH,2.912,0.455,-0.259,2.306,0.452,0.194,0.151388196045,0.165042456515,0.180661781288,0.151688273727,0.135157132559,0.132448054505,0.129783845391,0.127363782646,L2,IH1802,2927.4
20180104,10001145.SH,510050C1802M02950,2.95,0.0582,0.0638,0.055,0.0575,6178.0,5141.0,3665546.0,10000,20180228,510050.SH,2.919,0.468,-0.256,2.414,0.451,0.197,0.151431282539,0.158272145345,0.179375125776,0.151397136196,0.134796184984,0.132362151257,0.129754032724,0.126997958873,L2,IH1802,2937.8
20180105,10001145.SH,510050C1802M02950,2.95,0.0584,0.0665,0.0575,0.0617,6481.0,6046.0,3979490.0,10000,20180228,510050.SH,2.933,0.5,-0.255,2.517,0.45,0.208,0.150659334687,0.154191058058,0.166391784496,0.151472858774,0.134738281233,0.130799130753,0.129686046327,0.127065772331,L2,IH1802,2950.2
20180108,10001145.SH,510050C1802M02950,2.95,0.0634,0.0699,0.06,0.064,6311.0,6638.0,4087851.0,10000,20180228,510050.SH,2.944,0.526,-0.259,2.629,0.438,0.208,0.146536972076,0.152962452172,0.166859305092,0.151537989618,0.130386669735,0.130186294157,0.129198372382,0.126787352257,L2,IH1802,2959.8
20180109,10001145.SH,510050C1802M02950,2.95,0.0667,0.0774,0.0663,0.0766,11141.0,7353.0,8106424.0,10000,20180228,510050.SH,2.97,0.595,-0.259,2.617,0.426,0.232,0.148795112495,0.150994409849,0.167366517704,0.152259086234,0.129924031107,0.130673670598,0.128551541406,0.126727053829,L2,IH1802,2986.4
20180110,10001145.SH,510050C1802M02950,2.95,0.0763,0.0918,0.0717,0.0902,14951.0,7409.0,12481108.0,10000,20180228,510050.SH,2.994,0.658,-0.255,2.511,0.403,0.253,0.150208518408,0.13489081113,0.153246028671,0.152847379483,0.130479370603,0.130895288266,0.128691882268,0.126931092437,L2,IH1802,3006.4
20180111,10001145.SH,510050C1802M02950,2.95,0.0894,0.1018,0.0848,0.0919,11754.0,7780.0,10783361.0,10000,20180228,510050.SH,2.991,0.642,-0.275,2.392,0.405,0.241,0.080764487288,0.133644457669,0.153090434465,0.152237121438,0.130111965946,0.129135189628,0.128317004931,0.126916279897,L2,IH1802,3004.2
20180112,10001145.SH,510050C1802M02950,2.95,0.0919,0.108,0.0919,0.108,10451.0,7790.0,10437215.0,10000,20180228,510050.SH,3.018,0.709,-0.262,2.251,0.371,0.262,0.08220018845,0.131390558281,0.150262804499,0.153060983193,0.13064353183,0.129618555119,0.128369340908,0.127156858324,L2,IH1802,3032.6
20180115,10001145.SH,510050C1802M02950,2.95,0.1097,0.1467,0.1081,0.1319,16920.0,8449.0,22124982.0,10000,20180228,510050.SH,3.043,0.739,-0.294,1.891,0.343,0.255,0.0791715949866,0.120653195901,0.149022152169,0.153036747376,0.131079259148,0.128880900648,0.128512692522,0.127396474538,L2,IH1802,3058.0
20180116,10001145.SH,510050C1802M02950,2.95,0.1287,0.1475,0.1262,0.1475,12886.0,10075.0,17438442.0,10000,20180228,510050.SH,3.064,0.776,-0.285,1.726,0.314,0.263,0.0539278888747,0.121102094042,0.148984542533,0.153406162171,0.131422088669,0.128827220094,0.128670711199,0.127510758913,L2,IH1802,3090.6
