日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20170323,10000869.SH,510050C1705M02250,2.25,0.0932,0.1075,0.0913,0.0979,2883.0,1146.0,2878844.0,10000,20170524,510050.SH,2.344,1.0,-0.065,0.0,0.0,0.38,0.0934484260905,0.0767427837185,0.0809552171109,0.081475110818,0.100905982596,0.0999127990122,0.106002257036,0.104889684882,L2,IH1705,2332.6
20170324,10000869.SH,510050C1705M02250,2.25,0.1,0.1254,0.097,0.1195,2962.0,1977.0,3251120.0,10000,20170524,510050.SH,2.364,1.0,-0.065,0.0,0.0,0.374,0.0997490780106,0.0834299895178,0.0833379551372,0.0828715666334,0.100455528795,0.100332355135,0.106097790161,0.105258768904,L2,IH1705,2355.8
20170327,10000869.SH,510050C1705M02250,2.25,0.1234,0.1296,0.112,0.116,2601.0,2226.0,3149222.0,10000,20170524,510050.SH,2.36,1.0,-0.066,0.0,0.0,0.356,0.092025195339,0.079437492524,0.0820957416711,0.0820290832319,0.0996194008423,0.100281647426,0.106077276245,0.104892512372,L2,IH1705,2347.4
20170328,10000869.SH,510050C1705M02250,2.25,0.1163,0.1203,0.1094,0.1105,2024.0,2798.0,2307775.0,10000,20170524,510050.SH,2.354,1.0,-0.066,0.0,0.0,0.35,0.09258994227,0.0798359140259,0.0818676915404,0.0807240599291,0.0994026245534,0.0987715712889,0.106085705111,0.104954140074,L2,IH1705,2345.6
20170329,10000869.SH,510050C1705M02250,2.25,0.1142,0.1176,0.1055,0.1106,2311.0,3444.0,2585016.0,10000,20170524,510050.SH,2.352,1.0,-0.066,0.0,0.0,0.344,0.0924717586353,0.0798504568119,0.0818852721729,0.0802833107772,0.0992620904306,0.0987153355489,0.102497869538,0.104933054979,L2,IH1705,2349.4
20170330,10000869.SH,510050C1705M02250,2.25,0.1092,0.1113,0.0513,0.1045,4467.0,4506.0,4621195.0,10000,20170524,510050.SH,2.343,0.948,-0.085,1.633,0.097,0.319,0.0868092180525,0.0778890385741,0.0823821878582,0.0800425020291,0.0993984661212,0.0986523190739,0.0963804126637,0.103444712835,L2,IH1705,2339.0
20170331,10000869.SH,510050C1705M02250,2.25,0.1046,0.1134,0.1025,0.1114,2871.0,5251.0,3084091.0,10000,20170524,510050.SH,2.356,1.0,-0.066,0.0,0.0,0.331,0.0730031311746,0.0788521989942,0.0830833778792,0.0806783738004,0.0996646509574,0.0987102984018,0.095198059308,0.103546724813,L2,IH1705,2350.4
20170405,10000869.SH,510050C1705M02250,2.25,0.1161,0.1326,0.1161,0.1324,5275.0,5342.0,6763233.0,10000,20170524,510050.SH,2.382,1.0,-0.066,0.0,0.0,0.301,0.0893491416221,0.0869719922452,0.0787088620936,0.0830875930792,0.101203078562,0.0998043824606,0.0961196099066,0.104262017792,L2,IH1705,2377.0
20170406,10000869.SH,510050C1705M02250,2.25,0.1332,0.1383,0.1263,0.1337,4050.0,5826.0,5384620.0,10000,20170524,510050.SH,2.384,1.0,-0.066,0.0,0.0,0.295,0.0891934049392,0.0868177852661,0.0787364565968,0.0814556614961,0.0994723167063,0.0984434279443,0.0959429638581,0.104241652628,L2,IH1705,2377.2
20170407,10000869.SH,510050C1705M02250,2.25,0.1348,0.1381,0.126,0.132,4292.0,6695.0,5641888.0,10000,20170524,510050.SH,2.384,1.0,-0.066,0.0,0.0,0.289,0.0767459990885,0.0868433414746,0.0786337578386,0.0801125495792,0.0986854746036,0.0984371179077,0.095768900517,0.104010557489,L2,IH1705,2377.8
20170410,10000869.SH,510050C1705M02250,2.25,0.1334,0.1357,0.1284,0.1293,2234.0,7278.0,2939978.0,10000,20170524,510050.SH,2.377,1.0,-0.066,0.0,0.0,0.27,0.0799689282948,0.0853388024391,0.0783540016633,0.0803250580633,0.0986653698451,0.0983918078688,0.0955128202337,0.103951690372,L2,IH1705,2370.6
20170411,10000869.SH,510050C1705M02250,2.25,0.1294,0.1331,0.1109,0.127,8007.0,8213.0,9727128.0,10000,20170524,510050.SH,2.378,1.0,-0.066,0.0,0.0,0.264,0.0699326828812,0.0840005409183,0.0783419549551,0.0799410222121,0.0984120589601,0.0983898680365,0.0955035637055,0.101329664174,L2,IH1705,2365.4
20170412,10000869.SH,510050C1705M02250,2.25,0.1272,0.1328,0.1151,0.12,5202.0,9349.0,6519783.0,10000,20170524,510050.SH,2.374,1.0,-0.066,0.0,0.0,0.258,0.0699239367936,0.0796029934026,0.0753800935517,0.0799775260977,0.0967686824973,0.0983036236358,0.095352762792,0.101350316648,L2,IH1705,2361.4
20170413,10000869.SH,510050C1705M02250,2.25,0.1206,0.1255,0.1172,0.1206,3987.0,9894.0,4842453.0,10000,20170524,510050.SH,2.367,1.0,-0.066,0.0,0.0,0.252,0.0704421435082,0.0801418657379,0.0758670718191,0.0800362084734,0.0966295602403,0.0978387184617,0.0952188961174,0.101403491345,L2,IH1705,2363.2
20170414,10000869.SH,510050C1705M02250,2.25,0.12,0.1201,0.1039,0.1065,7074.0,13411.0,7859204.0,10000,20170524,510050.SH,2.35,1.0,-0.066,0.0,0.0,0.246,0.0801205293988,0.0842093032717,0.0785698727386,0.0809345791237,0.0968834898183,0.0964439879872,0.095682382841,0.101771354672,L2,IH1705,2342.0
20170417,10000869.SH,510050C1705M02250,2.25,0.1039,0.1086,0.0971,0.1067,7838.0,15656.0,7971087.0,10000,20170524,510050.SH,2.353,1.0,-0.066,0.0,0.0,0.227,0.077595161946,0.081059490273,0.0765900101379,0.0806589384355,0.0952950201237,0.0964289418295,0.0956805388543,0.101678085887,L2,IH1705,2345.0
20170418,10000869.SH,510050C1705M02250,2.25,0.1059,0.1062,0.0961,0.0962,4193.0,17494.0,4216240.0,10000,20170524,510050.SH,2.338,0.94,-0.1,1.91,0.088,0.207,0.0786647653486,0.0746104013385,0.0778119067714,0.0809520187317,0.095273234512,0.096891344247,0.0958696013071,0.101760032058,L2,IH1705,2329.2
20170419,10000869.SH,510050C1705M02250,2.25,0.0871,0.0946,0.0742,0.0789,11892.0,22933.0,9812564.0,10000,20170524,510050.SH,2.322,0.968,-0.08,1.671,0.052,0.208,0.0512378541167,0.0778468687479,0.0797352197443,0.0781953002481,0.0952463778703,0.0969781410821,0.0961896345489,0.102020592896,L2,IH1705,2313.8
20170420,10000869.SH,510050C1705M02250,2.25,0.081,0.0869,0.0766,0.0838,7077.0,23807.0,5723251.0,10000,20170524,510050.SH,2.331,1.0,-0.066,0.0,0.0,0.209,0.0583068797566,0.078641929397,0.0803443762739,0.0781292524687,0.0909593182778,0.0954814207755,0.0958712982704,0.101960237698,L2,IH1705,2325.2
20170421,10000869.SH,510050C1705M02250,2.25,0.0856,0.0929,0.0834,0.0898,12769.0,25248.0,11309628.0,10000,20170524,510050.SH,2.341,1.0,-0.066,0.0,0.0,0.203,0.066035929291,0.0761680636512,0.0813852799069,0.0775256931212,0.0911975367113,0.095619964597,0.0958299305408,0.101483180299,L2,IH1705,2331.4
20170424,10000869.SH,510050C1705M02250,2.25,0.0892,0.0911,0.0781,0.0856,22577.0,27324.0,18826581.0,10000,20170524,510050.SH,2.336,1.0,-0.066,0.0,0.0,0.184,0.0657873644175,0.0755407033278,0.0803201891159,0.0771626423336,0.0911121349666,0.0955391953018,0.0958744694926,0.101523918574,L2,IH1705,2326.0
20170425,10000869.SH,510050C1705M02250,2.25,0.0883,0.0939,0.0872,0.0898,16539.0,26939.0,15101445.0,10000,20170524,510050.SH,2.342,1.0,-0.066,0.0,0.0,0.178,0.0684722968428,0.0694446574549,0.0800538690918,0.076237623339,0.0911468229207,0.0955250769942,0.0958718737961,0.100683297454,L2,IH1705,2334.8
20170426,10000869.SH,510050C1705M02250,2.25,0.0915,0.1026,0.0905,0.0908,19585.0,27956.0,18826752.0,10000,20170524,510050.SH,2.339,1.0,-0.066,0.0,0.0,0.172,0.0684758821133,0.0693668056224,0.0761897994911,0.0762743146327,0.0881766850576,0.0955402189246,0.0958676648853,0.100482020118,L2,IH1705,2334.8
20170427,10000869.SH,510050C1705M02250,2.25,0.0902,0.098,0.0818,0.0946,18453.0,28675.0,16366168.0,10000,20170524,510050.SH,2.344,1.0,-0.066,0.0,0.0,0.166,0.0700992046655,0.0694739620966,0.0763496929465,0.0762202611193,0.0863887795462,0.0955726005254,0.0959009213542,0.10047408197,L1,IH1705,2340.6
20170428,10000869.SH,510050C1705M02250,2.25,0.0956,0.096,0.0862,0.0916,11474.0,29861.0,10452891.0,10000,20170524,510050.SH,2.34,1.0,-0.066,0.0,0.0,0.16,0.0616667530007,0.0696380847716,0.0763716121322,0.0762397314873,0.0858318378596,0.0953778263079,0.0957559062525,0.100342735729,L1,IH1705,2336.0
20170502,10000869.SH,510050C1705M02250,2.25,0.0915,0.0955,0.0852,0.0852,9938.0,31128.0,9032845.0,10000,20170524,510050.SH,2.332,1.0,-0.066,0.0,0.0,0.135,0.0625074447271,0.0693843676585,0.074396073337,0.0760939276492,0.0856803683544,0.0949821751396,0.094322518056,0.100245226986,L1,IH1705,2328.6
20170503,10000869.SH,510050C1705M02250,2.25,0.0855,0.0912,0.079,0.079,13410.0,31632.0,11351378.0,10000,20170524,510050.SH,2.325,0.988,-0.075,0.891,0.018,0.128,0.056417708034,0.0666463419276,0.0681635870183,0.0735641548427,0.0775795440097,0.0936281118335,0.0942887888427,0.100319952765,L1,IH1705,2323.6
20170504,10000869.SH,510050C1705M02250,2.25,0.0787,0.0835,0.0711,0.0718,14692.0,33109.0,11263645.0,10000,20170524,510050.SH,2.32,1.0,-0.066,0.0,0.0,0.123,0.0460567658376,0.0513353561515,0.0681173565905,0.0736676543614,0.0774963481578,0.0936601651544,0.0940210089977,0.100351045518,L1,IH1705,2316.2
20170505,10000869.SH,510050C1705M02250,2.25,0.0722,0.0727,0.0545,0.0639,38999.0,38107.0,24190922.0,10000,20170524,510050.SH,2.313,1.0,-0.066,0.0,0.0,0.117,0.04248262519,0.0510240965308,0.067950299273,0.0735997354248,0.0774422032112,0.0936825358111,0.0938438486664,0.100415973771,L1,IH1705,2309.4
20170508,10000869.SH,510050C1705M02250,2.25,0.0625,0.0696,0.0557,0.0679,29138.0,37126.0,18361971.0,10000,20170524,510050.SH,2.318,1.0,-0.066,0.0,0.0,0.099,0.0365630651777,0.0523739797789,0.0654410511268,0.0728315499368,0.0770036911177,0.093603772245,0.0938553928376,0.100341787731,L1,IH1705,2313.2
20170509,10000869.SH,510050C1705M02250,2.25,0.0676,0.073,0.0643,0.0684,20378.0,36973.0,14012621.0,10000,20170524,510050.SH,2.315,0.961,-0.103,2.154,0.04,0.089,0.0360816276701,0.0520708955247,0.0645950801006,0.0726417434385,0.0760946428975,0.0929772880451,0.0938541121944,0.100261158139,L1,IH1705,2313.6
20170510,10000869.SH,510050C1705M02250,2.25,0.0687,0.082,0.0687,0.0726,24996.0,33344.0,19051325.0,10000,20170524,510050.SH,2.321,1.0,-0.066,0.0,0.0,0.086,0.0361418238141,0.0535205047422,0.0597949150145,0.0720564229399,0.0760716290397,0.0918772796774,0.0936751547662,0.0999255038041,L1,IH1705,2320.6
20170511,10000869.SH,510050C1705M02250,2.25,0.0714,0.0863,0.0691,0.0848,23913.0,31648.0,19163593.0,10000,20170524,510050.SH,2.334,1.0,-0.066,0.0,0.0,0.08,0.0480284574535,0.0584522631219,0.0622208066859,0.0722251529745,0.0759693480053,0.091495348838,0.0938524556065,0.100073812671,L1,IH1705,2334.0
20170512,10000869.SH,510050C1705M02250,2.25,0.0838,0.1138,0.0838,0.1135,26788.0,22818.0,27425236.0,10000,20170524,510050.SH,2.37,1.0,-0.066,0.0,0.0,0.074,0.0903822114454,0.0804521054487,0.0761170621437,0.0784519669213,0.0787996683158,0.0938430551433,0.0944550372078,0.101525785721,L1,IH1705,2365.8
