日期,合约编码,交易代码,执行价,开盘价,最高价,最低价,收盘价,成交量,持仓量,成交额,合约单位,到期日,标的代码,标的收盘价,Delta,Theta,Gamma,Vega,Rho,hv10,hv20,hv30,hv60,hv90,hv120,hv150,hv180,连续标志,期货代码,期货收盘
20171027,10001039.SH,510050C1803M02950,2.95,0.0608,0.0652,0.0584,0.0631,10607.0,8151.0,6610769.0,10000,20180328,510050.SH,2.873,0.433,-0.13,1.945,0.729,0.493,0.0978127264299,0.0841818504963,0.0782925810956,0.10435794763,0.110348035513,0.115124814054,0.10792896645,0.103860666975,L3,IH1803,2837.8
20171030,10001039.SH,510050C1803M02950,2.95,0.0639,0.0688,0.0559,0.0585,5020.0,10411.0,3065736.0,10000,20180328,510050.SH,2.861,0.41,-0.129,1.911,0.711,0.455,0.10507300549,0.0870212399599,0.0789794403486,0.104906536456,0.108565832312,0.11530149667,0.108157433983,0.104040740838,L3,IH1803,2821.0
20171031,10001039.SH,510050C1803M02950,2.95,0.0593,0.0593,0.0536,0.0553,3058.0,11845.0,1683273.0,10000,20180328,510050.SH,2.851,0.392,-0.128,1.874,0.698,0.431,0.108441514912,0.0892486903831,0.0792115513409,0.101038247122,0.108242048006,0.11534383676,0.108318618655,0.104045559241,L3,IH1803,2823.0
20171101,10001039.SH,510050C1803M02950,2.95,0.0558,0.0618,0.0485,0.05,4443.0,13089.0,2432371.0,10000,20180328,510050.SH,2.842,0.372,-0.123,1.892,0.682,0.405,0.106867499978,0.0846401212501,0.0794741739853,0.101332501015,0.107500223173,0.115552084594,0.1079193372,0.10403309123,L3,IH1803,2817.8
20171102,10001039.SH,510050C1803M02950,2.95,0.0508,0.051,0.0463,0.0509,1853.0,13701.0,896419.0,10000,20180328,510050.SH,2.847,0.379,-0.124,1.92,0.685,0.412,0.106880678895,0.0846081081786,0.0763987437158,0.0965516119595,0.107234351577,0.115472556022,0.107887167122,0.104021773402,L3,IH1803,2820.0
20171103,10001039.SH,510050C1803M02950,2.95,0.0501,0.0539,0.0431,0.052,2029.0,14432.0,983553.0,10000,20180328,510050.SH,2.851,0.386,-0.126,1.938,0.687,0.416,0.0995248929899,0.0844426640849,0.0762731914223,0.0952752318867,0.106746738541,0.115466770419,0.107493787585,0.103916561469,L3,IH1803,2818.8
20171106,10001039.SH,510050C1803M02950,2.95,0.0512,0.0518,0.0439,0.0452,3497.0,15595.0,1645254.0,10000,20180328,510050.SH,2.843,0.361,-0.119,1.998,0.664,0.382,0.102252568515,0.0826328165176,0.0771941730379,0.0955117432197,0.106833388628,0.115509824562,0.107552760337,0.103905253749,L3,IH1803,2814.0
20171107,10001039.SH,510050C1803M02950,2.95,0.046,0.0589,0.046,0.0589,5042.0,16114.0,2734276.0,10000,20180328,510050.SH,2.875,0.428,-0.132,2.04,0.701,0.452,0.111270762519,0.0880861743401,0.0807763961524,0.097685429716,0.107998640534,0.114664990607,0.108180894175,0.104449312759,L3,IH1803,2847.0
20171108,10001039.SH,510050C1803M02950,2.95,0.0589,0.0733,0.0582,0.0601,6310.0,13816.0,4086569.0,10000,20180328,510050.SH,2.874,0.427,-0.135,1.994,0.698,0.448,0.11038874163,0.087559728534,0.0805742905456,0.0964026829649,0.107310459396,0.114698609462,0.108166318141,0.104447913249,L3,IH1803,2844.2
20171109,10001039.SH,510050C1803M02950,2.95,0.0607,0.0638,0.0589,0.0628,1670.0,13492.0,1017275.0,10000,20180328,510050.SH,2.885,0.447,-0.136,2.054,0.704,0.467,0.105253648491,0.0875166792301,0.080527245313,0.0960628789126,0.107029539987,0.114740048938,0.108008907786,0.104496250768,L3,IH1803,2855.2
20171110,10001039.SH,510050C1803M02950,2.95,0.0636,0.0862,0.0622,0.0837,9935.0,11550.0,7654261.0,10000,20180328,510050.SH,2.918,0.515,-0.151,1.918,0.715,0.537,0.0895042125963,0.0927200569233,0.0847740382017,0.0914024494812,0.108076504734,0.114582886658,0.108626006417,0.104957571455,L3,IH1803,2891.0
20171113,10001039.SH,510050C1803M02950,2.95,0.0841,0.1033,0.0841,0.0932,5902.0,11706.0,5758953.0,10000,20180328,510050.SH,2.928,0.533,-0.161,1.814,0.708,0.543,0.0840434511411,0.0926968663732,0.0845789777518,0.0904837922018,0.107432208043,0.114365692219,0.107969250625,0.103871323098,L3,IH1803,2901.6
20171114,10001039.SH,510050C1803M02950,2.95,0.0924,0.097,0.0841,0.0868,3469.0,12006.0,3097662.0,10000,20180328,510050.SH,2.913,0.505,-0.161,1.794,0.704,0.509,0.0874030001393,0.0959137665211,0.0871175995645,0.0910930775549,0.106559083504,0.114791986423,0.108283788286,0.104100022708,L3,IH1803,2887.0
20171115,10001039.SH,510050C1803M02950,2.95,0.0852,0.0867,0.0788,0.0819,2551.0,12076.0,2085262.0,10000,20180328,510050.SH,2.901,0.484,-0.161,1.779,0.698,0.482,0.0890951473854,0.0958943764392,0.0846303156244,0.091085348987,0.103892739271,0.114787817278,0.108493248644,0.10427562815,L3,IH1803,2877.0
20171116,10001039.SH,510050C1803M02950,2.95,0.0811,0.0972,0.0808,0.095,3217.0,11615.0,2859315.0,10000,20180328,510050.SH,2.932,0.539,-0.165,1.787,0.7,0.537,0.0984930942789,0.100736860623,0.0878558752231,0.0927065463979,0.104994867489,0.114447129406,0.108998025753,0.104709597703,L3,IH1803,2909.2
20171117,10001039.SH,510050C1803M02950,2.95,0.094,0.1239,0.094,0.1217,4904.0,11192.0,5261715.0,10000,20180328,510050.SH,2.99,0.65,-0.159,1.812,0.664,0.654,0.127276819005,0.113115088762,0.100259905666,0.0993095365014,0.108911436876,0.117140239553,0.111411000929,0.106844172557,L3,IH1803,2955.0
20171120,10001039.SH,510050C1803M02950,2.95,0.1219,0.141,0.11,0.141,8474.0,11541.0,10703177.0,10000,20180328,510050.SH,2.996,0.638,-0.184,1.517,0.665,0.621,0.121656254757,0.112683965183,0.0988907132397,0.0991984599191,0.108736896129,0.110409769481,0.111336860885,0.106349861981,L3,IH1803,2964.4
20171121,10001039.SH,510050C1803M02950,2.95,0.1344,0.2057,0.1344,0.1881,5370.0,10828.0,9953621.0,10000,20180328,510050.SH,3.046,0.688,-0.203,1.22,0.635,0.664,0.131186574812,0.121370694869,0.105352838296,0.102291000542,0.110352695154,0.112327926722,0.11280183469,0.107802412832,L3,IH1803,3025.6
20171122,10001039.SH,510050C1803M02950,2.95,0.1889,0.2318,0.1889,0.2063,6530.0,10365.0,14006057.0,10000,20180328,510050.SH,3.067,0.708,-0.208,1.136,0.619,0.678,0.126858172013,0.119979283543,0.10559342754,0.102257664653,0.110422013476,0.11253127398,0.112416640233,0.107976104829,L3,IH1803,3049.2
20171123,10001039.SH,510050C1803M02950,2.95,0.2088,0.2207,0.1323,0.1475,4686.0,9726.0,8614092.0,10000,20180328,510050.SH,2.991,0.62,-0.202,1.394,0.666,0.585,0.201216777688,0.156795111434,0.133157501062,0.115394115845,0.116607447507,0.118656287684,0.117481804725,0.111917924297,L3,IH1803,2966.2
20171124,10001039.SH,510050C1803M02950,2.95,0.1456,0.1591,0.1384,0.1577,3516.0,9809.0,5227058.0,10000,20180328,510050.SH,2.99,0.612,-0.218,1.277,0.668,0.568,0.197271916594,0.149259406883,0.133083318693,0.108043898448,0.115724314741,0.117890785349,0.117063411084,0.111745204174,L3,IH1803,2970.0
20171127,10001039.SH,510050C1803M02950,2.95,0.1539,0.1539,0.1297,0.1454,3188.0,9597.0,4411100.0,10000,20180328,510050.SH,2.966,0.579,-0.224,1.299,0.668,0.522,0.203711575728,0.15188769269,0.136383737746,0.107773830633,0.116731780122,0.117235521945,0.117213813807,0.112267529343,L3,IH1803,2937.8
20171128,10001039.SH,510050C1803A02950,2.896,0.1405,0.1435,0.1278,0.134,1059.0,9212.0,1450952.0,10185,20180328,510050.SH,2.896,0.558,-0.223,1.321,0.656,0.487,0.2376602718,0.175642776382,0.155038974248,0.118824983654,0.123511772198,0.122516954133,0.121573120083,0.115996253854,L3,IH1803,2928.0
20171129,10001039.SH,510050C1803A02950,2.896,0.134,0.1434,0.1116,0.1305,1934.0,8701.0,2483322.0,10185,20180328,510050.SH,2.89,0.549,-0.224,1.328,0.653,0.475,0.237051008203,0.175372148553,0.153990726572,0.118321163434,0.121039828585,0.122081423159,0.121600477404,0.116053578627,L3,IH1803,2913.8
20171130,10001039.SH,510050C1803A02950,2.896,0.1288,0.135,0.113,0.117,1630.0,8242.0,2086574.0,10185,20180328,510050.SH,2.858,0.507,-0.226,1.313,0.648,0.431,0.234031064645,0.180178417427,0.157806577569,0.12048125823,0.122536721544,0.122908008405,0.122559271177,0.116700546468,L3,IH1803,2877.0
20171201,10001039.SH,510050C1803A02950,2.896,0.1108,0.1222,0.1061,0.1063,1265.0,8154.0,1458183.0,10185,20180328,510050.SH,2.838,0.48,-0.223,1.33,0.64,0.403,0.20054069466,0.181833571089,0.158285876965,0.121320900916,0.121649839238,0.123213321857,0.123008386144,0.116963791088,L3,IH1803,2860.8
20171204,10001039.SH,510050C1803A02950,2.896,0.1032,0.1188,0.0999,0.1045,1221.0,7790.0,1379405.0,10185,20180328,510050.SH,2.858,0.502,-0.214,1.459,0.637,0.416,0.206820560932,0.183266659703,0.159340146977,0.122020783137,0.121589024557,0.123468026939,0.123179541188,0.116847145912,L3,IH1803,2877.4
20171205,10001039.SH,510050C1803A02950,2.896,0.1022,0.137,0.101,0.1303,2355.0,7516.0,2812230.0,10185,20180328,510050.SH,2.908,0.574,-0.22,1.421,0.634,0.477,0.209036034214,0.189094895611,0.165715230759,0.126064850066,0.124076968804,0.12558003741,0.124843228708,0.118312767565,L3,IH1803,2919.0
20171206,10001039.SH,510050C1803A02950,2.896,0.1259,0.1303,0.108,0.1129,1323.0,7431.0,1600093.0,10185,20180328,510050.SH,2.871,0.521,-0.222,1.425,0.634,0.424,0.202210241478,0.194746196872,0.170302328404,0.128170184954,0.125997478475,0.125754372271,0.12608684019,0.119418921801,L3,IH1803,2882.6
20171207,10001039.SH,510050C1803A02950,2.896,0.1142,0.1163,0.0897,0.0935,765.0,7511.0,786084.0,10185,20180328,510050.SH,2.844,0.479,-0.21,1.509,0.625,0.386,0.17679838758,0.196844091762,0.171009130681,0.128702977125,0.127103807815,0.126143826741,0.126689135366,0.119884472469,L3,IH1803,2856.6
20171208,10001039.SH,510050C1803A02950,2.896,0.096,0.109,0.09,0.1053,679.0,7496.0,690988.0,10185,20180328,510050.SH,2.865,0.51,-0.218,1.481,0.627,0.409,0.186105851076,0.194179924709,0.165920441941,0.129312202545,0.127574105958,0.126360391508,0.126797701287,0.119280240596,L3,IH1803,2886.0
20171211,10001039.SH,510050C1803A02950,2.896,0.101,0.1228,0.1,0.1228,708.0,7351.0,812068.0,10185,20180328,510050.SH,2.898,0.558,-0.227,1.451,0.619,0.438,0.199682330151,0.198428212164,0.168624255388,0.130848137297,0.128777437732,0.125690919086,0.127356257961,0.119879112587,L3,IH1803,2918.2
20171212,10001039.SH,510050C1803A02950,2.896,0.1215,0.1223,0.0993,0.0995,910.0,7268.0,1027485.0,10185,20180328,510050.SH,2.846,0.482,-0.226,1.45,0.611,0.37,0.184338793931,0.207210363435,0.176387839854,0.135949274091,0.130160695006,0.128300403032,0.129643564583,0.121932986467,L3,IH1803,2869.8
20171213,10001039.SH,510050C1803A02950,2.896,0.0982,0.116,0.0941,0.1119,989.0,7190.0,1022057.0,10185,20180328,510050.SH,2.87,0.517,-0.234,1.422,0.614,0.395,0.19091151488,0.209496036913,0.177740916795,0.136685703637,0.130797175343,0.128035170274,0.129946062225,0.121841510339,L3,IH1803,2896.6
20171214,10001039.SH,510050C1803A02950,2.896,0.1111,0.1161,0.0959,0.097,665.0,7224.0,693842.0,10185,20180328,510050.SH,2.85,0.486,-0.224,1.495,0.607,0.367,0.185841674341,0.206478851668,0.178887006055,0.136855510213,0.129045430294,0.12836033886,0.13034065629,0.12217630973,L3,IH1803,2876.8
20171215,10001039.SH,510050C1803A02950,2.896,0.093,0.0963,0.0805,0.0807,889.0,7303.0,782985.0,10185,20180328,510050.SH,2.816,0.434,-0.216,1.5,0.589,0.323,0.192203996628,0.19443237538,0.182054784885,0.139232839741,0.130151608019,0.129339711761,0.131434886497,0.122805616306,L3,IH1803,2839.8
20171218,10001039.SH,510050C1803A02950,2.896,0.0806,0.0909,0.0768,0.0825,1341.0,7303.0,1134673.0,10185,20180328,510050.SH,2.828,0.449,-0.219,1.55,0.586,0.325,0.189646979476,0.195324076778,0.182383124934,0.139373183466,0.130231372253,0.129336257464,0.131375000604,0.122824655219,L3,IH1803,2857.0
20171219,10001039.SH,510050C1803A02950,2.896,0.0822,0.103,0.0795,0.103,676.0,7100.0,646852.0,10185,20180328,510050.SH,2.87,0.513,-0.231,1.534,0.596,0.372,0.183182927465,0.193120320931,0.184495881568,0.141990795401,0.132278486233,0.130764580371,0.131279094106,0.123781002513,L3,IH1803,2896.2
20171220,10001039.SH,510050C1803A02950,2.896,0.1054,0.112,0.0985,0.1053,614.0,7118.0,656535.0,10185,20180328,510050.SH,2.876,0.522,-0.233,1.537,0.594,0.375,0.172398695675,0.190716212297,0.184593673129,0.141951248263,0.131710612499,0.130366697136,0.131282127853,0.123765274539,L3,IH1803,2898.8
20171221,10001039.SH,510050C1803A02950,2.896,0.105,0.1267,0.0992,0.1167,1346.0,7304.0,1623718.0,10185,20180328,510050.SH,2.893,0.547,-0.241,1.488,0.591,0.39,0.165765160559,0.175276893005,0.185042967494,0.142165474861,0.13177809246,0.130304571131,0.131408995075,0.123753099259,L3,IH1803,2927.8
